"Athens later allied itself to Ptolemaic Egypt to throw off Macedonian rule , eventually setting up a religious cult for the Ptolemaic kings and naming one of the city phyles in honor of Ptolemy for his aid against Macedon .","For what purpose do Athens name one of the city phyles eventually ?","in honor of Ptolemy for his aid against Macedon","AmPncQgTemplate"
"Schwarzenegger was sworn in on November 17 , to serve the remainder of Davis 's term .","For what purpose was Schwarzenegger sworn on November 17 ?","to serve the remainder of Davis 's term","AmPncQgTemplate"
"While some , like Spencer , used analogy from natural selection as an argument against government intervention in the economy to benefit the poor , others , including Alfred Russel Wallace , argued that action was needed to correct social and economic inequities to level the playing field before natural selection could improve humanity further .","For what purpose was action needed ?","to correct social and economic inequities to level the playing field before natural selection could improve humanity further","AmPncQgTemplate"
"While some , like Spencer , used analogy from natural selection as an argument against government intervention in the economy to benefit the poor , others , including Alfred Russel Wallace , argued that action was needed to correct social and economic inequities to level the playing field before natural selection could improve humanity further .","For what purpose did social and economic inequities correct ?","to level the playing field before natural selection could improve humanity further","AmPncQgTemplate"
"Covered by naval bombardment , the army drove off the French force detailed to oppose their landing , captured Cherbourg , and destroyed its fortifications , docks , and shipping .","For what purpose did the French force detail ?","to oppose their landing","AmPncQgTemplate"
") indicate either whether the start of the Julian year has been adjusted to start on 1 January ( N.","For what purpose has the start of the Julian year been adjusted ?","to start on 1 January ( N.","AmPncQgTemplate"
"A further referendum will be needed to approve 300 million francs to support Romania and Bulgaria and their recent admission .","For what purpose will A further referendum be needed ?","to approve 300 million francs to support Romania and Bulgaria and their recent admission","AmPncQgTemplate"
"Despite the many similarities , medieval specialists have coined the term "" Islamic college "" for madrasa and j?mi?ah to differentiate them from the legally autonomous corporations that the medieval European universities were .","For what purpose have medieval specialists coined the term "" Islamic college "" for madrasa and j?mi?ah despite the many similarities ?","to differentiate them from the legally autonomous corporations that the medieval European universities were","AmPncQgTemplate"
"After the ethnic cleansing of a third of the Greek population of the island in 1974 , there was also an increase in the number of Greek Cypriots leaving , especially for the Middle East , which contributed to a decrease in population that tapered off in the 1990s .","For what purpose do Greek Cypriots leave ?","especially for the Middle East","AmPncQgTemplate"
"In 1837 , the personal union of the United Kingdom and Hanover ended because William IV 's heir in the United Kingdom was female ( Queen Victoria ) .","Why did the personal union of the United Kingdom and Hanover end in 1837 ?","because William IV 's heir in the United Kingdom was female ( Queen Victoria )","AmCauQgTemplate"
"Kennedy ultimately decided to pursue what became the Apollo program , and on May 25 took the opportunity to ask for Congressional support in a Cold War speech titled "" Special Message on Urgent National Needs "" .","For what purpose did Kennedy take the opportunity on May 25 ?","to ask for Congressional support in a Cold War speech titled "" Special Message on Urgent National Needs ""","AmPncQgTemplate"
"Others decided they must leave the Church because of their dissatisfaction and became known as the Separatists .","Why must they leave the Church ?","because of their dissatisfaction","AmCauQgTemplate"
